Date, Open, High, Low, Close, Volume
12/27/19, 999.50, 1003.00, 988.00, 988.00, 124630
12/26/19, 1020.00, 1023.00, 998.50, 999.50, 91490
12/23/19, 1000.00, 1020.00, 999.50, 1020.00, 91005
12/20/19, 999.00, 1000.00, 978.50, 1000.00, 379340
12/19/19, 991.50, 1000.00, 990.00, 999.00, 152220
12/18/19, 997.50, 1000.00, 990.00, 1000.00, 143740
12/17/19, 990.00, 997.50, 981.00, 994.50, 97040
12/16/19, 1001.00, 1004.00, 985.50, 990.00, 75280
12/13/19, 1003.00, 1015.00, 999.00, 1001.00, 89210
12/12/19, 1003.00, 1013.00, 998.00, 998.00, 64820
12/11/19, 1001.00, 1018.00, 1001.00, 1003.00, 78050
12/10/19, 1033.00, 1033.00, 1000.00, 1000.00, 295135
12/09/19, 1057.00, 1057.00, 1022.00, 1035.00, 120295
12/06/19, 1051.00, 1084.00, 1045.00, 1052.00, 123065
12/05/19, 1071.00, 1088.00, 1040.00, 1042.00, 116825
12/04/19, 1068.00, 1095.00, 1068.00, 1072.00, 45470
12/03/19, 1066.00, 1095.00, 1066.00, 1085.00, 30215
12/02/19, 1100.00, 1100.00, 1062.00, 1064.00, 62110
11/29/19, 1088.00, 1090.00, 1075.00, 1075.00, 75745
11/28/19, 1100.00, 1100.00, 1075.00, 1087.00, 99675
11/27/19, 1103.00, 1105.00, 1080.00, 1080.00, 88760
11/26/19, 1094.00, 1108.00, 1094.00, 1108.00, 285125
11/25/19, 1106.00, 1114.00, 1090.00, 1094.00, 57075
11/22/19, 1091.00, 1116.00, 1081.00, 1116.00, 96885
11/21/19, 1100.00, 1107.00, 1085.00, 1098.00, 93070
11/20/19, 1104.00, 1109.00, 1099.00, 1100.00, 31720
11/19/19, 1107.00, 1114.00, 1100.00, 1112.00, 63630
11/18/19, 1102.00, 1110.00, 1101.00, 1102.00, 123840
11/15/19, 1100.00, 1108.00, 1097.00, 1104.00, 54240
11/14/19, 1100.00, 1106.00, 1090.00, 1100.00, 82475
11/13/19, 1101.00, 1110.00, 1100.00, 1100.00, 69365
11/12/19, 1117.00, 1117.00, 1105.00, 1108.00, 46105
11/11/19, 1101.00, 1112.00, 1101.00, 1106.00, 51605
11/08/19, 1100.00, 1119.00, 1099.00, 1110.00, 45170
11/07/19, 1120.00, 1120.00, 1097.00, 1110.00, 128945
11/06/19, 1133.00, 1133.00, 1108.00, 1121.00, 64050
11/05/19, 1120.00, 1146.00, 1114.00, 1133.00, 182370
11/04/19, 1104.00, 1127.00, 1100.00, 1111.00, 64520
10/31/19, 1093.00, 1108.00, 1093.00, 1100.00, 64910
10/30/19, 1106.00, 1106.00, 1089.00, 1090.00, 103425
10/29/19, 1093.00, 1118.00, 1093.00, 1100.00, 106285
10/28/19, 1100.00, 1109.00, 1091.00, 1092.00, 205075
10/25/19, 1119.00, 1119.00, 1099.00, 1099.00, 47465
10/24/19, 1114.00, 1120.00, 1102.00, 1110.00, 126605
10/23/19, 1120.00, 1124.00, 1112.00, 1112.00, 68550
10/22/19, 1115.00, 1138.00, 1106.00, 1120.00, 98600
10/21/19, 1110.00, 1123.00, 1104.00, 1115.00, 35225
10/18/19, 1107.00, 1115.00, 1107.00, 1110.00, 57960
10/17/19, 1105.00, 1117.00, 1105.00, 1106.00, 87545
10/16/19, 1105.00, 1127.00, 1100.00, 1115.00, 65715
10/15/19, 1112.00, 1114.00, 1095.00, 1100.00, 73525
10/14/19, 1107.00, 1125.00, 1107.00, 1116.00, 28945
10/11/19, 1110.00, 1133.00, 1108.00, 1108.00, 93580
10/10/19, 1096.00, 1118.00, 1096.00, 1107.00, 41140
10/09/19, 1100.00, 1102.00, 1090.00, 1095.00, 91160
10/08/19, 1104.00, 1142.00, 1095.00, 1100.00, 85020
10/07/19, 1100.00, 1108.00, 1090.00, 1100.00, 22290
10/04/19, 1098.00, 1107.00, 1092.00, 1098.00, 53790
10/03/19, 1110.00, 1110.00, 1090.00, 1100.00, 111240
10/02/19, 1120.00, 1124.00, 1102.00, 1120.00, 46725
10/01/19, 1131.00, 1132.00, 1120.00, 1128.00, 66215
09/30/19, 1128.00, 1145.00, 1127.00, 1132.00, 74880
09/27/19, 1130.00, 1149.00, 1127.00, 1127.00, 83115
09/26/19, 1120.00, 1130.00, 1116.00, 1127.00, 48545
09/25/19, 1110.00, 1116.00, 1100.00, 1108.00, 47135
09/24/19, 1105.00, 1120.00, 1105.00, 1108.00, 79885
09/23/19, 1148.00, 1158.00, 1112.00, 1112.00, 95815
09/20/19, 1159.00, 1175.00, 1145.00, 1147.00, 298000
09/19/19, 1172.00, 1177.00, 1155.00, 1159.00, 51900
09/18/19, 1177.00, 1177.00, 1165.00, 1169.00, 33505
09/17/19, 1175.00, 1179.00, 1167.00, 1179.00, 36375
09/16/19, 1200.00, 1200.00, 1155.00, 1175.00, 102215
09/13/19, 1195.00, 1205.00, 1191.00, 1204.00, 61910
09/12/19, 1196.00, 1196.00, 1176.00, 1194.00, 39095
09/11/19, 1180.00, 1198.00, 1180.00, 1197.00, 101170
09/10/19, 1159.00, 1184.00, 1159.00, 1180.00, 124535
09/09/19, 1152.00, 1160.00, 1146.00, 1154.00, 66240
09/06/19, 1150.00, 1154.00, 1140.00, 1144.00, 38720
09/05/19, 1133.00, 1156.00, 1133.00, 1140.00, 130900
09/04/19, 1157.00, 1160.00, 1133.00, 1133.00, 87205
09/03/19, 1164.00, 1184.00, 1148.00, 1148.00, 76175
09/02/19, 1170.00, 1170.00, 1151.00, 1164.00, 22545
08/30/19, 1124.00, 1179.00, 1121.00, 1179.00, 190395
08/29/19, 1120.00, 1130.00, 1111.00, 1125.00, 174690
08/28/19, 1120.00, 1129.00, 1110.00, 1120.00, 146810
08/27/19, 1132.00, 1144.00, 1100.00, 1117.00, 235315
08/23/19, 1128.00, 1156.00, 1116.00, 1149.00, 146335
08/22/19, 1106.00, 1135.00, 1090.00, 1130.00, 249975
08/20/19, 1118.00, 1118.00, 1105.00, 1105.00, 132770
08/19/19, 1142.00, 1150.00, 1134.00, 1149.00, 132250
08/16/19, 1141.00, 1184.00, 1131.00, 1131.00, 152215
08/15/19, 1163.00, 1165.00, 1126.00, 1152.00, 116125
08/14/19, 1177.00, 1190.00, 1150.00, 1170.00, 149875
08/13/19, 1185.00, 1210.00, 1140.00, 1170.00, 393760
08/09/19, 1168.00, 1208.00, 1168.00, 1184.00, 232525
08/08/19, 1100.00, 1164.00, 1092.00, 1164.00, 145780
08/07/19, 1117.00, 1145.00, 1080.00, 1090.00, 286420
08/06/19, 1144.00, 1144.00, 1105.00, 1105.00, 100635
08/05/19, 1150.00, 1159.00, 1138.00, 1145.00, 148750
08/02/19, 1144.00, 1165.00, 1130.00, 1150.00, 140275
08/01/19, 1150.00, 1150.00, 1130.00, 1145.00, 40395
07/31/19, 1150.00, 1150.00, 1125.00, 1150.00, 114400
07/30/19, 1135.00, 1163.00, 1134.00, 1138.00, 118375
07/29/19, 1139.00, 1148.00, 1133.00, 1134.00, 77615
07/26/19, 1148.00, 1160.00, 1126.00, 1135.00, 75280
07/25/19, 1139.00, 1160.00, 1119.00, 1160.00, 108585
07/24/19, 1155.00, 1165.00, 1120.00, 1120.00, 123975
07/23/19, 1184.00, 1198.00, 1148.00, 1148.00, 252305
07/22/19, 1176.00, 1189.00, 1174.00, 1184.00, 58350
07/19/19, 1198.00, 1203.00, 1187.00, 1187.00, 165360
07/18/19, 1200.00, 1200.00, 1176.00, 1180.00, 177225
07/17/19, 1228.00, 1228.00, 1185.00, 1185.00, 66910
07/16/19, 1222.00, 1238.00, 1200.00, 1200.00, 126840
07/15/19, 1220.00, 1235.00, 1214.00, 1222.00, 73970
07/12/19, 1224.00, 1245.00, 1214.00, 1214.00, 137130
07/11/19, 1209.00, 1222.00, 1190.00, 1210.00, 119575
07/10/19, 1194.00, 1200.00, 1188.00, 1198.00, 76470
07/09/19, 1205.00, 1225.00, 1179.00, 1193.00, 149155
07/08/19, 1259.00, 1259.00, 1204.00, 1205.00, 62835
07/05/19, 1246.00, 1267.00, 1240.00, 1240.00, 68375
07/04/19, 1265.00, 1272.00, 1240.00, 1240.00, 52495
07/03/19, 1290.00, 1290.00, 1256.00, 1256.00, 53050
07/02/19, 1272.00, 1286.00, 1268.00, 1280.00, 51305
07/01/19, 1290.00, 1295.00, 1266.00, 1272.00, 57175
06/28/19, 1300.00, 1318.00, 1274.00, 1290.00, 99280
06/27/19, 1280.00, 1304.00, 1280.00, 1303.00, 118600
06/26/19, 1300.00, 1300.00, 1274.00, 1288.00, 47160
06/25/19, 1299.00, 1302.00, 1288.00, 1299.00, 102040
06/24/19, 1280.00, 1304.00, 1276.00, 1294.00, 96210
06/21/19, 1263.00, 1280.00, 1252.00, 1280.00, 293410
06/20/19, 1232.00, 1265.00, 1232.00, 1251.00, 174075
06/19/19, 1213.00, 1245.00, 1201.00, 1231.00, 289610
06/18/19, 1195.00, 1206.00, 1164.00, 1178.00, 190270
06/17/19, 1230.00, 1239.00, 1195.00, 1195.00, 256930
06/14/19, 1238.00, 1240.00, 1225.00, 1230.00, 142640
06/13/19, 1230.00, 1238.00, 1230.00, 1231.00, 344285
06/11/19, 1232.00, 1262.00, 1229.00, 1230.00, 158995
06/10/19, 1232.00, 1244.00, 1227.00, 1230.00, 109600
06/07/19, 1232.00, 1239.00, 1230.00, 1230.00, 122420
06/06/19, 1246.00, 1268.00, 1230.00, 1230.00, 269330
06/04/19, 1263.00, 1278.00, 1240.00, 1244.00, 840035
06/03/19, 1340.00, 1373.00, 1331.00, 1358.00, 185595
05/31/19, 1293.00, 1350.00, 1293.00, 1350.00, 220625
05/30/19, 1274.00, 1317.00, 1271.00, 1280.00, 196310
05/29/19, 1281.00, 1300.00, 1273.00, 1273.00, 88160
05/28/19, 1283.00, 1316.00, 1273.00, 1277.00, 593715
05/27/19, 1313.00, 1340.00, 1282.00, 1282.00, 76155
05/24/19, 1301.00, 1350.00, 1280.00, 1350.00, 168195
05/23/19, 1320.00, 1340.00, 1311.00, 1327.00, 126635
05/22/19, 1299.00, 1333.00, 1293.00, 1321.00, 168020
05/21/19, 1270.00, 1310.00, 1264.00, 1303.00, 158165
05/20/19, 1256.00, 1275.00, 1256.00, 1270.00, 101950
05/17/19, 1230.00, 1264.00, 1230.00, 1255.00, 145410
05/16/19, 1222.00, 1238.00, 1210.00, 1220.00, 181770
05/15/19, 1225.00, 1244.00, 1213.00, 1221.00, 121270
05/14/19, 1240.00, 1279.00, 1214.00, 1240.00, 231055
05/10/19, 1288.00, 1288.00, 1240.00, 1240.00, 167310
05/09/19, 1250.00, 1290.00, 1231.00, 1290.00, 353170
05/08/19, 1230.00, 1248.00, 1220.00, 1245.00, 91700
05/07/19, 1230.00, 1257.00, 1220.00, 1254.00, 66855
05/06/19, 1220.00, 1250.00, 1205.00, 1245.00, 83860
05/03/19, 1240.00, 1260.00, 1200.00, 1220.00, 120425
05/02/19, 1230.00, 1242.00, 1220.00, 1240.00, 50945
04/30/19, 1206.00, 1230.00, 1200.00, 1230.00, 114255
04/29/19, 1208.00, 1212.00, 1190.00, 1208.00, 189760
04/26/19, 1235.00, 1235.00, 1214.00, 1220.00, 97555
04/25/19, 1237.00, 1237.00, 1202.00, 1234.00, 99875
04/24/19, 1230.00, 1238.00, 1227.00, 1232.00, 54865
04/23/19, 1240.00, 1240.00, 1225.00, 1233.00, 104865
04/22/19, 1220.00, 1240.00, 1219.00, 1240.00, 189495
04/17/19, 1195.00, 1227.00, 1192.00, 1224.00, 203475
04/16/19, 1175.00, 1199.00, 1169.00, 1195.00, 95675
04/15/19, 1183.00, 1186.00, 1160.00, 1160.00, 63785
04/12/19, 1163.00, 1180.00, 1162.00, 1179.00, 156820
04/11/19, 1163.00, 1168.00, 1152.00, 1165.00, 130625
04/10/19, 1165.00, 1168.00, 1150.00, 1165.00, 243265
04/08/19, 1140.00, 1160.00, 1135.00, 1150.00, 276855
04/05/19, 1145.00, 1154.00, 1140.00, 1145.00, 84205
04/04/19, 1130.00, 1150.00, 1130.00, 1146.00, 102115
04/03/19, 1137.00, 1140.00, 1121.00, 1131.00, 78485
04/02/19, 1120.00, 1132.00, 1112.00, 1130.00, 139515
04/01/19, 1139.00, 1139.00, 1102.00, 1105.00, 82710
03/29/19, 1150.00, 1150.00, 1137.00, 1150.00, 174315
03/28/19, 1182.00, 1182.00, 1139.00, 1139.00, 103930
03/27/19, 1168.00, 1187.00, 1160.00, 1167.00, 56825
03/26/19, 1149.00, 1174.00, 1149.00, 1164.00, 175025
03/25/19, 1180.00, 1182.00, 1142.00, 1149.00, 92070
03/22/19, 1181.00, 1188.00, 1180.00, 1185.00, 76585
03/21/19, 1160.00, 1190.00, 1160.00, 1180.00, 93395
03/20/19, 1160.00, 1165.00, 1152.00, 1160.00, 132395
03/19/19, 1154.00, 1160.00, 1146.00, 1148.00, 90425
03/18/19, 1160.00, 1164.00, 1137.00, 1150.00, 108415
03/15/19, 1133.00, 1161.00, 1113.00, 1161.00, 356070
03/14/19, 1120.00, 1156.00, 1120.00, 1132.00, 218560
03/13/19, 1116.00, 1119.00, 1102.00, 1119.00, 74370
03/12/19, 1090.00, 1113.00, 1089.00, 1107.00, 114980
03/11/19, 1077.00, 1097.00, 1075.00, 1075.00, 160875
03/08/19, 1060.00, 1095.00, 1060.00, 1075.00, 119850
03/07/19, 1088.00, 1105.00, 1070.00, 1075.00, 224830
03/06/19, 1082.00, 1106.00, 1081.00, 1085.00, 152970
03/05/19, 1050.00, 1076.00, 1037.00, 1075.00, 156495
03/04/19, 1030.00, 1045.00, 1025.00, 1036.00, 204860
03/01/19, 1040.00, 1046.00, 1025.00, 1030.00, 211705
02/28/19, 1052.00, 1052.00, 1015.00, 1030.00, 458410
02/27/19, 1098.00, 1098.00, 1030.00, 1050.00, 181775
02/26/19, 1117.00, 1120.00, 1081.00, 1098.00, 118345
02/22/19, 1090.00, 1123.00, 1083.00, 1113.00, 279075
02/21/19, 1096.00, 1100.00, 1070.00, 1080.00, 176520
02/20/19, 1107.00, 1140.00, 1070.00, 1070.00, 322095
02/19/19, 1126.00, 1126.00, 1101.00, 1101.00, 174850
02/18/19, 1131.00, 1148.00, 1110.00, 1110.00, 127245
02/15/19, 1170.00, 1202.00, 1112.00, 1112.00, 247530
02/14/19, 1190.00, 1197.00, 1170.00, 1170.00, 56385
02/13/19, 1238.00, 1238.00, 1170.00, 1190.00, 150540
02/12/19, 1216.00, 1227.00, 1215.00, 1215.00, 54175
02/11/19, 1240.00, 1247.00, 1210.00, 1216.00, 92985
02/08/19, 1277.00, 1277.00, 1230.00, 1240.00, 127535
02/07/19, 1290.00, 1294.00, 1276.00, 1283.00, 80360
02/06/19, 1318.00, 1329.00, 1290.00, 1290.00, 116440
02/04/19, 1312.00, 1316.00, 1290.00, 1300.00, 54355
02/01/19, 1285.00, 1313.00, 1285.00, 1313.00, 77855
01/31/19, 1310.00, 1324.00, 1290.00, 1290.00, 184135
01/30/19, 1365.00, 1366.00, 1300.00, 1305.00, 113875
01/29/19, 1385.00, 1386.00, 1351.00, 1380.00, 93975
01/28/19, 1330.00, 1386.00, 1330.00, 1385.00, 146975
01/25/19, 1286.00, 1329.00, 1285.00, 1328.00, 254160
01/24/19, 1255.00, 1296.00, 1254.00, 1286.00, 167305
01/23/19, 1241.00, 1253.00, 1230.00, 1253.00, 92170
01/22/19, 1228.00, 1249.00, 1220.00, 1240.00, 65090
01/21/19, 1250.00, 1258.00, 1225.00, 1225.00, 21605
01/18/19, 1237.00, 1248.00, 1237.00, 1247.00, 48240
01/17/19, 1230.00, 1247.00, 1225.00, 1237.00, 112635
01/16/19, 1225.00, 1235.00, 1199.00, 1215.00, 125685
01/15/19, 1210.00, 1220.00, 1205.00, 1215.00, 128555
01/14/19, 1228.00, 1229.00, 1187.00, 1199.00, 168465
01/11/19, 1233.00, 1255.00, 1205.00, 1205.00, 149575
01/10/19, 1185.00, 1236.00, 1182.00, 1234.00, 194335
01/09/19, 1165.00, 1186.00, 1165.00, 1186.00, 104990
01/08/19, 1162.00, 1177.00, 1140.00, 1140.00, 42255
01/07/19, 1160.00, 1192.00, 1148.00, 1148.00, 73100
01/04/19, 1158.00, 1185.00, 1148.00, 1160.00, 89605
01/03/19, 1139.00, 1164.00, 1134.00, 1158.00, 81120
01/02/19, 1169.00, 1169.00, 1128.00, 1130.00, 28825
12/28/18, 1150.00, 1150.00, 1125.00, 1125.00, 110775
12/27/18, 1150.00, 1161.00, 1137.00, 1150.00, 119760
12/26/18, 1150.00, 1156.00, 1143.00, 1150.00, 41180
12/21/18, 1169.00, 1169.00, 1139.00, 1149.00, 150175
12/20/18, 1165.00, 1176.00, 1145.00, 1170.00, 148520
12/19/18, 1150.00, 1166.00, 1138.00, 1153.00, 79345
12/18/18, 1154.00, 1155.00, 1129.00, 1129.00, 133675
12/17/18, 1141.00, 1164.00, 1139.00, 1164.00, 120825
12/14/18, 1140.00, 1146.00, 1134.00, 1140.00, 66820
12/13/18, 1154.00, 1155.00, 1134.00, 1134.00, 129525
12/12/18, 1140.00, 1154.00, 1139.00, 1140.00, 63570
12/11/18, 1165.00, 1170.00, 1140.00, 1140.00, 98690
12/10/18, 1165.00, 1179.00, 1160.00, 1168.00, 31230
12/07/18, 1188.00, 1198.00, 1165.00, 1165.00, 63700
12/06/18, 1207.00, 1207.00, 1188.00, 1188.00, 86480
12/05/18, 1190.00, 1207.00, 1189.00, 1207.00, 44425
12/04/18, 1180.00, 1200.00, 1171.00, 1196.00, 161505
12/03/18, 1188.00, 1200.00, 1157.00, 1170.00, 240650
11/29/18, 1180.00, 1200.00, 1158.00, 1158.00, 347045
11/28/18, 1176.00, 1200.00, 1165.00, 1178.00, 91330
11/27/18, 1188.00, 1200.00, 1160.00, 1176.00, 88765
11/26/18, 1208.00, 1210.00, 1182.00, 1188.00, 121800
11/23/18, 1208.00, 1223.00, 1200.00, 1200.00, 36875
11/22/18, 1224.00, 1224.00, 1198.00, 1208.00, 38115
11/21/18, 1230.00, 1230.00, 1190.00, 1225.00, 89150
11/20/18, 1235.00, 1236.00, 1200.00, 1216.00, 34310
11/19/18, 1170.00, 1236.00, 1170.00, 1236.00, 73780
11/16/18, 1190.00, 1225.00, 1165.00, 1165.00, 108705
11/15/18, 1177.00, 1200.00, 1165.00, 1165.00, 49095
11/14/18, 1183.00, 1209.00, 1150.00, 1177.00, 72970
11/13/18, 1200.00, 1221.00, 1178.00, 1180.00, 86345
11/12/18, 1220.00, 1244.00, 1202.00, 1202.00, 103805
11/09/18, 1284.00, 1284.00, 1186.00, 1220.00, 104580
11/08/18, 1321.00, 1321.00, 1272.00, 1284.00, 169425
11/07/18, 1400.00, 1400.00, 1290.00, 1321.00, 160010
11/06/18, 1419.00, 1420.00, 1375.00, 1400.00, 84730
11/05/18, 1410.00, 1419.00, 1390.00, 1419.00, 121335
10/31/18, 1355.00, 1398.00, 1340.00, 1390.00, 131710
10/30/18, 1400.00, 1409.00, 1355.00, 1355.00, 38725
10/29/18, 1370.00, 1409.00, 1355.00, 1400.00, 55075
10/26/18, 1382.00, 1385.00, 1379.00, 1381.00, 51005
10/25/18, 1395.00, 1395.00, 1368.00, 1380.00, 55200
10/24/18, 1384.00, 1415.00, 1384.00, 1396.00, 41750
10/23/18, 1410.00, 1415.00, 1370.00, 1376.00, 41640
10/22/18, 1430.00, 1435.00, 1400.00, 1411.00, 34615
10/19/18, 1425.00, 1436.00, 1390.00, 1430.00, 73660
10/18/18, 1369.00, 1420.00, 1369.00, 1420.00, 34230
10/17/18, 1375.00, 1400.00, 1361.00, 1400.00, 47865
10/16/18, 1370.00, 1400.00, 1360.00, 1400.00, 37240
10/15/18, 1400.00, 1400.00, 1368.00, 1368.00, 25505
10/12/18, 1350.00, 1400.00, 1349.00, 1400.00, 65605
10/11/18, 1370.00, 1370.00, 1340.00, 1364.00, 62060
