Date, Open, High, Low, Close, Volume
12/27/19, 192.00, 197.00, 190.00, 195.00, 186470
12/26/19, 186.60, 196.00, 185.80, 196.00, 302450
12/23/19, 181.90, 187.70, 181.90, 186.60, 1913760
12/20/19, 186.80, 188.20, 179.70, 183.00, 1988700
12/19/19, 193.90, 193.90, 186.10, 187.00, 1103210
12/18/19, 197.00, 197.00, 189.20, 193.00, 657740
12/17/19, 197.00, 197.00, 190.10, 196.50, 905590
12/16/19, 200.00, 200.00, 195.00, 195.00, 309670
12/13/19, 200.00, 200.00, 196.30, 200.00, 421270
12/12/19, 199.50, 200.00, 194.40, 200.00, 786030
12/11/19, 196.00, 200.00, 196.00, 199.50, 365150
12/10/19, 199.40, 199.60, 196.00, 196.00, 449670
12/09/19, 202.40, 202.40, 197.10, 199.60, 113350
12/06/19, 197.90, 198.90, 195.00, 195.80, 1538920
12/05/19, 199.00, 199.60, 197.50, 197.90, 1427610
12/04/19, 202.00, 203.00, 198.00, 199.60, 843420
12/03/19, 206.20, 206.20, 201.00, 202.00, 630130
12/02/19, 205.00, 206.00, 201.60, 206.00, 398390
11/29/19, 204.00, 205.00, 199.40, 205.00, 547740
11/28/19, 201.60, 204.00, 199.00, 204.00, 453430
11/27/19, 203.00, 204.20, 198.10, 204.00, 517470
11/26/19, 201.00, 202.00, 199.00, 202.00, 1060000
11/25/19, 200.60, 202.20, 199.40, 202.00, 235670
11/22/19, 201.00, 201.00, 197.20, 201.00, 405410
11/21/19, 202.80, 203.00, 197.10, 201.00, 689820
11/20/19, 203.80, 203.80, 199.90, 203.00, 218440
11/19/19, 202.60, 203.80, 199.10, 203.80, 225610
11/18/19, 200.00, 202.80, 198.20, 200.60, 357920
11/15/19, 195.90, 205.00, 195.90, 200.00, 634710
11/14/19, 193.00, 195.90, 193.00, 195.90, 312010
11/13/19, 195.50, 195.50, 193.00, 195.30, 951940
11/12/19, 200.60, 201.40, 195.00, 195.50, 842790
11/11/19, 200.80, 201.00, 200.00, 200.00, 213320
11/08/19, 203.60, 203.60, 196.00, 203.00, 223760
11/07/19, 202.00, 203.00, 200.00, 203.00, 247310
11/06/19, 204.00, 204.00, 200.00, 202.00, 177310
11/05/19, 203.00, 204.80, 200.20, 203.20, 688410
11/04/19, 199.10, 204.80, 199.10, 204.00, 286800
10/31/19, 204.80, 204.80, 199.20, 199.20, 451210
10/30/19, 204.00, 205.60, 201.00, 205.00, 440450
10/29/19, 203.40, 205.00, 200.80, 204.00, 502100
10/28/19, 199.00, 203.60, 198.70, 203.60, 335200
10/25/19, 201.00, 203.00, 201.00, 203.00, 476330
10/24/19, 200.00, 201.00, 198.60, 201.00, 527070
10/23/19, 200.60, 200.60, 198.30, 200.00, 372450
10/22/19, 199.00, 202.00, 198.00, 202.00, 401260
10/21/19, 199.50, 199.50, 197.10, 199.00, 89220
10/18/19, 199.90, 199.90, 197.10, 199.50, 1122160
10/17/19, 196.50, 200.00, 194.50, 200.00, 985680
10/16/19, 192.50, 198.50, 192.50, 198.40, 1058570
10/15/19, 197.50, 197.50, 192.40, 197.00, 314800
10/14/19, 197.90, 199.00, 196.60, 197.50, 217630
10/11/19, 198.80, 199.00, 194.80, 198.00, 494960
10/10/19, 191.10, 199.00, 190.20, 199.00, 349820
10/09/19, 194.40, 194.50, 191.00, 191.00, 722550
10/08/19, 196.00, 199.00, 194.50, 194.60, 162500
10/07/19, 197.90, 197.90, 190.40, 197.00, 224810
10/04/19, 190.30, 198.00, 190.30, 197.90, 190100
10/03/19, 192.00, 196.00, 189.50, 190.20, 548070
10/02/19, 187.30, 197.00, 187.30, 194.20, 500940
10/01/19, 195.80, 195.80, 188.90, 190.00, 994900
09/30/19, 196.00, 197.80, 195.30, 197.00, 330660
09/27/19, 197.00, 198.90, 197.00, 198.00, 121280
09/26/19, 197.90, 198.00, 193.10, 197.00, 614590
09/25/19, 196.00, 198.00, 193.20, 198.00, 460490
09/24/19, 196.00, 197.90, 195.80, 196.00, 306230
09/23/19, 197.00, 198.00, 195.80, 197.50, 462650
09/20/19, 196.20, 199.80, 196.00, 199.00, 661790
09/19/19, 197.80, 199.00, 196.00, 199.00, 452150
09/18/19, 199.70, 199.70, 197.00, 198.30, 446230
09/17/19, 203.00, 203.20, 199.80, 200.00, 1147940
09/16/19, 205.40, 206.00, 203.20, 205.60, 240780
09/13/19, 206.00, 206.40, 205.00, 206.00, 634720
09/12/19, 203.80, 206.00, 202.20, 206.00, 232760
09/11/19, 203.20, 205.00, 203.00, 204.00, 723720
09/10/19, 205.00, 205.00, 202.00, 204.60, 449870
09/09/19, 203.40, 205.00, 201.00, 205.00, 194800
09/06/19, 201.00, 205.00, 200.00, 203.40, 520240
09/05/19, 200.00, 202.20, 198.20, 202.00, 442420
09/04/19, 201.00, 201.20, 197.10, 199.80, 132080
09/03/19, 198.20, 205.00, 195.00, 205.00, 680470
09/02/19, 200.00, 200.00, 195.00, 199.00, 183960
08/30/19, 194.90, 204.00, 192.50, 204.00, 1339130
08/29/19, 192.10, 195.40, 189.00, 195.40, 1226160
08/28/19, 186.00, 193.00, 185.10, 193.00, 749260
08/27/19, 186.00, 186.50, 185.40, 186.20, 588740
08/23/19, 187.40, 191.00, 185.20, 189.80, 566160
08/22/19, 187.20, 190.00, 186.00, 189.40, 608800
08/20/19, 191.70, 192.10, 186.20, 190.60, 379950
08/19/19, 183.10, 191.90, 183.10, 191.90, 440460
08/16/19, 189.30, 190.10, 182.40, 182.40, 300030
08/15/19, 187.00, 189.80, 183.60, 189.30, 879310
08/14/19, 194.40, 194.40, 185.20, 189.30, 271170
08/13/19, 194.00, 195.00, 183.60, 195.00, 484190
08/09/19, 192.00, 202.20, 190.40, 193.50, 1746730
08/08/19, 182.50, 192.00, 182.00, 192.00, 2157140
08/07/19, 173.30, 182.40, 170.50, 182.40, 864350
08/06/19, 173.00, 173.50, 170.00, 173.30, 723620
08/05/19, 180.00, 180.00, 174.60, 175.50, 369720
08/02/19, 181.90, 181.90, 178.00, 180.00, 128840
08/01/19, 182.00, 182.40, 178.10, 182.00, 352470
07/31/19, 182.50, 184.00, 181.10, 182.50, 722160
07/30/19, 185.00, 185.00, 182.40, 184.00, 172310
07/29/19, 185.00, 185.00, 182.10, 185.00, 200980
07/26/19, 186.00, 186.00, 183.20, 185.00, 74480
07/25/19, 184.00, 186.30, 182.10, 186.00, 348750
07/24/19, 185.00, 185.50, 182.00, 184.60, 271720
07/23/19, 185.00, 186.70, 183.90, 185.50, 311910
07/22/19, 185.00, 186.90, 185.00, 186.90, 222460
07/19/19, 187.40, 187.40, 186.30, 187.00, 474620
07/18/19, 182.10, 187.50, 182.10, 187.40, 395070
07/17/19, 185.00, 186.00, 181.00, 182.10, 140810
07/16/19, 183.00, 187.10, 183.00, 185.00, 931750
07/15/19, 179.00, 183.50, 178.20, 182.00, 491610
07/12/19, 180.00, 183.00, 178.40, 179.00, 668390
07/11/19, 173.00, 180.10, 172.00, 179.80, 1567440
07/10/19, 173.00, 174.00, 171.80, 173.00, 91550
07/09/19, 172.00, 173.00, 171.80, 173.00, 406440
07/08/19, 172.40, 172.50, 170.00, 171.90, 583640
07/05/19, 171.50, 172.60, 171.40, 172.00, 1306450
07/04/19, 170.50, 172.00, 169.30, 171.50, 397130
07/03/19, 170.00, 170.90, 169.60, 170.00, 1099170
07/02/19, 168.50, 170.00, 168.50, 170.00, 203820
07/01/19, 171.10, 171.10, 168.50, 168.60, 155920
06/28/19, 171.90, 171.90, 168.00, 170.00, 492910
06/27/19, 171.90, 171.90, 170.10, 171.50, 97570
06/26/19, 169.90, 171.90, 168.60, 171.90, 324850
06/25/19, 169.50, 170.00, 168.80, 170.00, 193120
06/24/19, 170.00, 170.00, 168.50, 169.10, 402550
06/21/19, 165.50, 170.00, 165.50, 170.00, 616890
06/20/19, 165.00, 165.90, 164.90, 165.10, 1038980
06/19/19, 165.50, 166.00, 163.10, 165.00, 1077560
06/18/19, 168.80, 168.80, 162.50, 162.50, 634000
06/17/19, 171.50, 172.40, 168.10, 168.60, 478180
06/14/19, 171.90, 172.50, 168.10, 171.50, 244340
06/13/19, 171.30, 172.30, 167.90, 171.00, 591170
06/11/19, 172.40, 173.00, 170.70, 170.90, 867190
06/10/19, 171.90, 171.90, 170.40, 170.90, 585210
06/07/19, 172.00, 172.50, 170.00, 171.90, 116120
06/06/19, 172.00, 173.80, 167.90, 172.10, 2183820
06/04/19, 175.00, 175.00, 170.00, 170.10, 441980
06/03/19, 175.00, 176.00, 174.00, 174.00, 342220
05/31/19, 176.00, 176.30, 175.00, 175.00, 264570
05/30/19, 175.00, 177.00, 175.00, 175.30, 310900
05/29/19, 173.80, 177.00, 172.00, 175.00, 750050
05/28/19, 173.80, 174.60, 170.00, 171.10, 1166850
05/27/19, 170.40, 174.60, 170.40, 173.80, 1112000
05/24/19, 171.70, 171.70, 170.10, 170.40, 240210
05/23/19, 174.50, 175.00, 171.40, 172.00, 214590
05/22/19, 179.00, 179.00, 174.00, 175.50, 295890
